"year","pages","author_count","Topic_STM_1","Topic_STM_2","Topic_STM_3","Topic_STM_4","Topic_STM_5","Topic_STM_6","Topic_STM_7","Topic_STM_8","Topic_STM_9","Topic_STM_10","Topic_LDA_1","Topic_LDA_2","Topic_LDA_3","Topic_LDA_4","Topic_LDA_5","Topic_LDA_6","Topic_LDA_7","Topic_LDA_8","Topic_LDA_9","Topic_LDA_10","cluster"
2000,1,4,0.00842754003579376,0.0138439460545856,0.657816529624112,0.0150586498799799,0.0195797529694393,0.230452292903759,0.00881963828896414,0.0157816647704423,0.0190542336891032,0.0111657517838207,0.116666666666667,0.0833333333333333,0.0833333333333333,0.116666666666667,0.133333333333333,0.1,0.0833333333333333,0.0833333333333333,0.116666666666667,0.0833333333333333,"0"
2000,2,11,0.00677381566846651,0.013692258964493,0.0246367212902766,0.0164324763639416,0.016764889281785,0.885080718205239,0.00569458659596806,0.00972018137413383,0.00955124693889486,0.0116531053168017,0.145161290322581,0.0967741935483871,0.0806451612903226,0.0806451612903226,0.0806451612903226,0.0806451612903226,0.0806451612903226,0.0967741935483871,0.145161290322581,0.112903225806452,"-1"
2000,1,3,0.0086697514562447,0.0170197366091676,0.031250373623287,0.0209078800054391,0.0214983838147389,0.85161599785992,0.00738813999879436,0.0134725564191525,0.0133937805570008,0.0147833996562542,0.189655172413793,0.0862068965517241,0.0862068965517241,0.0862068965517241,0.0862068965517241,0.0862068965517241,0.103448275862069,0.0862068965517241,0.103448275862069,0.0862068965517241,"0"
2000,1,3,0.0169699011228495,0.0302107425686756,0.0539169211647158,0.037084959300826,0.0384100257616585,0.730328712071446,0.0130435174210798,0.0231682943451328,0.0314068578849478,0.0254600683586676,0.142857142857143,0.125,0.0892857142857143,0.0892857142857143,0.0892857142857143,0.0892857142857143,0.107142857142857,0.0892857142857143,0.0892857142857143,0.0892857142857143,"0"
2001,2,3,0.013075454778581,0.0236574683143401,0.04233575494237,0.0291884594490944,0.0302118839016247,0.789704948248814,0.01094165150534,0.0185145599565059,0.021338046846565,0.0210317720567654,0.12962962962963,0.111111111111111,0.0925925925925926,0.0925925925925926,0.0925925925925926,0.0925925925925926,0.111111111111111,0.0925925925925926,0.0925925925925926,0.0925925925925926,"0"
2001,2,6,0.0175903431884921,0.0300939405634056,0.053476044644622,0.0373881004441283,0.0388831287259973,0.726271213315652,0.0141421943218963,0.024221663581224,0.0311425940670463,0.026790777147536,0.155172413793103,0.0862068965517241,0.0862068965517241,0.120689655172414,0.0862068965517241,0.0862068965517241,0.103448275862069,0.103448275862069,0.0862068965517241,0.0862068965517241,"0"
2001,2,4,0.0128212277904639,0.00930020335742655,0.0339825308359059,0.0257535074981466,0.0246359985013631,0.422470720934266,0.0178156455002076,0.415507496202947,0.0184914429698516,0.0192212264094217,0.176470588235294,0.102941176470588,0.0735294117647059,0.117647058823529,0.0882352941176471,0.0735294117647059,0.0882352941176471,0.132352941176471,0.0735294117647059,0.0735294117647059,"0"
2002,1,3,0.0195795429953744,0.0215857884867394,0.0630689903344071,0.0319718766573545,0.0361448480837328,0.355269807657856,0.0193985746540113,0.0290615077982218,0.0612296460720207,0.362689417260282,0.120689655172414,0.0862068965517241,0.0862068965517241,0.0862068965517241,0.137931034482759,0.0862068965517241,0.103448275862069,0.0862068965517241,0.120689655172414,0.0862068965517241,"0"
2002,2,3,0.0175466224140676,0.021923786163225,0.0427129105001597,0.03078274205214,0.382222662352595,0.412047867450187,0.0149915916494683,0.02570466065446,0.0264621821140507,0.025604974649647,0.15,0.1,0.1,0.0833333333333333,0.1,0.1,0.0833333333333333,0.1,0.0833333333333333,0.1,"0"
2002,2,3,0.0107080371470698,0.01339020755754,0.0247834645141412,0.0196398592461137,0.0231425776124832,0.45029982176915,0.0114994063613696,0.0180820779626916,0.0276548353482663,0.400799712481174,0.116666666666667,0.1,0.133333333333333,0.0833333333333333,0.1,0.0833333333333333,0.133333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,"0"
2002,2,4,0.0126696398856012,0.0142039861613098,0.0262518418702883,0.0211542133153154,0.0252878730547485,0.362448500405739,0.0128085039284127,0.0201777582121294,0.0334558102447982,0.471541872921658,0.137931034482759,0.0862068965517241,0.0862068965517241,0.0862068965517241,0.137931034482759,0.0862068965517241,0.0862068965517241,0.103448275862069,0.103448275862069,0.0862068965517241,"0"
2001,1,4,0.0141971386185757,0.0396196654300437,0.0291242404112536,0.553207051768004,0.0227226481621017,0.260831332938684,0.0111034628562789,0.0165095309382693,0.037209261326884,0.0154756675499054,0.183333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.133333333333333,0.0833333333333333,0.1,0.0833333333333333,"0"
2001,1,5,0.0134952877143916,0.020794943997517,0.0266893801281455,0.546460340386215,0.0238637402245063,0.29086858438847,0.0113379968321553,0.016743512807706,0.0333425398671878,0.0164036736537051,0.125,0.09375,0.078125,0.140625,0.09375,0.09375,0.078125,0.078125,0.078125,0.140625,"0"
2008,1,3,0.0221126423901172,0.0290720832286814,0.0498504978705974,0.0390436849110745,0.041781019488946,0.696056417923238,0.023915949719431,0.0321215188851003,0.0287874826014232,0.037258702981391,0.120689655172414,0.103448275862069,0.137931034482759,0.103448275862069,0.0862068965517241,0.0862068965517241,0.0862068965517241,0.103448275862069,0.0862068965517241,0.0862068965517241,"-1"
2002,1,5,0.00566711461782332,0.00912449035876501,0.785172758710568,0.00958300185031331,0.012717705533731,0.13993261886218,0.00671735112169099,0.0111826577705554,0.0122655144320587,0.00763678674231378,0.117647058823529,0.205882352941176,0.102941176470588,0.0735294117647059,0.0735294117647059,0.0882352941176471,0.0882352941176471,0.0735294117647059,0.102941176470588,0.0735294117647059,"0"
2000,2,15,0.023337911509838,0.035014553674583,0.044381196128798,0.211913295195861,0.0219467000058641,0.204853227250279,0.0112928111522559,0.0191904464518457,0.397836635450888,0.0302332231797873,0.129032258064516,0.112903225806452,0.145161290322581,0.0967741935483871,0.0806451612903226,0.0806451612903226,0.0967741935483871,0.0806451612903226,0.0967741935483871,0.0806451612903226,"-1"
2002,1,3,0.0175466224140676,0.021923786163225,0.0427129105001597,0.03078274205214,0.382222662352595,0.412047867450187,0.0149915916494683,0.02570466065446,0.0264621821140507,0.025604974649647,0.172413793103448,0.0862068965517241,0.0862068965517241,0.103448275862069,0.0862068965517241,0.103448275862069,0.103448275862069,0.0862068965517241,0.0862068965517241,0.0862068965517241,"0"
2001,2,8,0.0127798668926475,0.00794707000785897,0.0329025415534666,0.0207816625367304,0.0251184690663978,0.237897985354105,0.0184138474375894,0.603793453706667,0.0210734931208574,0.0192916103236795,0.137931034482759,0.0862068965517241,0.0862068965517241,0.103448275862069,0.0862068965517241,0.103448275862069,0.0862068965517241,0.120689655172414,0.0862068965517241,0.103448275862069,"-1"
2002,1,8,0.0159395286952283,0.0133141059246935,0.0431585122365016,0.0281335843593502,0.0325654742262427,0.503594393436201,0.0212197309234775,0.292466514878045,0.0240051143846472,0.0256030409356134,0.120689655172414,0.0862068965517241,0.103448275862069,0.0862068965517241,0.120689655172414,0.0862068965517241,0.120689655172414,0.103448275862069,0.0862068965517241,0.0862068965517241,"-1"
2000,2,7,0.0085736089387991,0.0173614224343086,0.0282168212241753,0.022869102153582,0.0203296601662406,0.854615932775232,0.00676778505371466,0.012282137891062,0.0143950670087433,0.0145884623541429,0.112903225806452,0.0806451612903226,0.0806451612903226,0.0806451612903226,0.145161290322581,0.0806451612903226,0.112903225806452,0.0967741935483871,0.112903225806452,0.0967741935483871,"-1"
2002,2,4,0.0135102043194501,0.0235447342560484,0.0419398957536946,0.0293745484555147,0.0305275777556651,0.786752548542909,0.0118160718143282,0.019296343892067,0.0211057051703177,0.0221323700400053,0.125,0.0892857142857143,0.107142857142857,0.107142857142857,0.0892857142857143,0.107142857142857,0.0892857142857143,0.0892857142857143,0.0892857142857143,0.107142857142857,"0"
2002,2,5,0.0135102043194501,0.0235447342560484,0.0419398957536946,0.0293745484555146,0.0305275777556651,0.786752548542909,0.0118160718143282,0.019296343892067,0.0211057051703176,0.0221323700400053,0.148148148148148,0.0925925925925926,0.0925925925925926,0.0925925925925926,0.111111111111111,0.0925925925925926,0.0925925925925926,0.0925925925925926,0.0925925925925926,0.0925925925925926,"0"
2001,1,4,0.0141381800725618,0.016212539188324,0.0319754177155164,0.0243784283217936,0.243615861898204,0.392677072042622,0.0127807978340656,0.023214582858361,0.0307430623638194,0.210264057704732,0.155172413793103,0.0862068965517241,0.120689655172414,0.0862068965517241,0.0862068965517241,0.120689655172414,0.0862068965517241,0.0862068965517241,0.0862068965517241,0.0862068965517241,"0"
2001,2,5,0.0175903431884921,0.0300939405634056,0.053476044644622,0.0373881004441283,0.0388831287259973,0.726271213315652,0.0141421943218963,0.024221663581224,0.0311425940670463,0.026790777147536,0.140625,0.078125,0.09375,0.109375,0.09375,0.15625,0.09375,0.078125,0.078125,0.078125,"0"
2002,1,5,0.00692515017089602,0.0136733707239233,0.0241764309833237,0.0165436172231641,0.0169838814242668,0.882914088497547,0.00653807505175944,0.0103898895939023,0.00919707885384423,0.0126584174773736,0.133333333333333,0.0833333333333333,0.116666666666667,0.0833333333333333,0.1,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.133333333333333,0.1,"0"
